Model,Rank,Index_in_holdout,Date,Actual,Predicted,AbsError,SignedError
RandomForest,1,144,2025-06-10 00:00:00,105.5,68.3976320970775,37.102367902922495,-37.102367902922495
RandomForest,2,145,2025-06-11 00:00:00,104.25,68.4377936623589,35.8122063376411,-35.8122063376411
RandomForest,3,146,2025-06-12 00:00:00,96.4,68.50982938054796,27.89017061945205,-27.89017061945205
RandomForest,4,275,2025-10-19 00:00:00,47.25,70.72302984322613,23.47302984322613,23.47302984322613
RandomForest,5,143,2025-06-09 00:00:00,85.0,61.76313627369631,23.23686372630369,-23.23686372630369
