Model,Rank,Index_in_holdout,Date,Actual,Predicted,AbsError,SignedError
Linear,1,49,2025-03-07,22.33,68.55727393838036,46.227273938380364,46.227273938380364
Linear,2,76,2025-04-03,35.0,80.30765058111493,45.30765058111493,45.30765058111493
Linear,3,62,2025-03-20,18.33,63.31858614606067,44.98858614606067,44.98858614606067
Linear,4,60,2025-03-18,22.33,66.81972872751165,44.48972872751165,44.48972872751165
Linear,5,61,2025-03-19,17.67,61.92771228106957,44.257712281069566,44.257712281069566
