Model,Rank,Index_in_holdout,Date,Actual,Predicted,AbsError,SignedError
XGBoost,1,144,2025-06-10 00:00:00,105.5,63.97273254394531,41.52726745605469,-41.52726745605469
XGBoost,2,145,2025-06-11 00:00:00,104.25,63.97273254394531,40.27726745605469,-40.27726745605469
XGBoost,3,146,2025-06-12 00:00:00,96.4,63.97273254394531,32.42726745605469,-32.42726745605469
XGBoost,4,61,2025-03-19 00:00:00,17.67,46.842796325683594,29.172796325683592,29.172796325683592
XGBoost,5,63,2025-03-21 00:00:00,18.33,46.842796325683594,28.512796325683595,28.512796325683595
