Model,overshoot_count,undershoot_count,overshoot_prop,undershoot_prop
RandomForest,261,16,0.9422382671480144,0.05776173285198556
LightGBM,238,39,0.8592057761732852,0.1407942238267148
Linear,238,39,0.8592057761732852,0.1407942238267148
XGBoost,233,44,0.8411552346570397,0.1588447653429603
