RMSE,MAE,R2,Model,Dropped_Group,Dropped_Count
25.84978518270741,21.59973502265085,-1.4247423233620955,LightGBM,climate_cols,7
20.830012705145553,17.912581001318273,-0.5744569343382331,Linear,climate_cols,7
28.731178443638967,24.17057712275588,-1.9954260009934557,RandomForest,climate_cols,7
22.648062081415482,18.402206365261698,-0.8612889967084632,XGBoost,climate_cols,7
22.27547795673369,17.52633069330458,-0.8005524585499957,LightGBM,economic_cols,3
19.730379724016696,16.494764326507585,-0.41261106428944405,Linear,economic_cols,3
28.42818876403905,21.601914442415083,-1.932581545978413,RandomForest,economic_cols,3
22.518820297288812,17.925053937340472,-0.8401066156930079,XGBoost,economic_cols,3
24.915736109251604,20.32601673700753,-1.2526782260405116,LightGBM,market_cols,1
21.78092058331022,18.751523239753606,-0.721488712085399,Linear,market_cols,1
25.927344229753203,21.51472373807822,-1.439314423587279,RandomForest,market_cols,1
20.080338663523058,16.380094473938648,-0.46316661232910916,XGBoost,market_cols,1
25.03426938605036,21.920290581733482,-1.2741628396296907,LightGBM,temporal_cols,8
20.940959886111887,16.964987494679136,-0.591273703994722,Linear,temporal_cols,8
25.190203157637562,21.37257631743236,-1.3025817409592397,RandomForest,temporal_cols,8
22.644895715225847,18.38892824524146,-0.8607685892185719,XGBoost,temporal_cols,8
