Model,Train_RMSE,CV_RMSE,Train_MAE,CV_MAE,Train_MAPE,CV_MAPE,Train_R2,CV_R2
Linear,5.894735266665201,16.2708216093699,4.005330570285949,13.106841530306983,6.362468434326978,23.608654164644882,0.9311265912992713,-4.000907788886513
RandomForest,4.8866655555406595,7.731799399027041,3.2804846782812347,5.086115262453768,5.292048329116118,8.78830443162073,0.952676549334357,0.7186783188950555
XGBoost,4.281723204552849,8.597735607143857,3.002931069468281,5.84326370139744,5.060478455078125,10.032489553996514,0.9628523567191476,0.6384141951297921
LightGBM,3.600993845902697,9.410453235141716,2.399595151528259,6.584435181386484,3.6213979035163875,11.42729293534919,0.9737975128410046,0.5682395376661677
