Model,RMSE_mean,MSE_mean,MAE_mean,MAPE_mean,R2_mean
Linear,51.63937931861174,4844.3535637846635,44.569039419991576,76.32674603200944,-34.44787054778219
RandomForest,26.822885027027514,743.3416597344082,20.166350110415376,35.99176782741924,-2.071702905105265
XGBoost,21.895700181516137,503.4810145056761,16.65240316722432,28.36202701355267,-0.9512586023126222
LightGBM,25.17283704250529,659.2205342572479,19.99195761861184,35.42565593252019,-1.846372045113822
