Supply_Volume,USD_TO_NPR,Diesel,is_festival,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation,Dhading_Wind_Speed,Dhading_Temperature,Dhading_Precipitation,Dhading_Rainfall_MM,Dhading_Air_Pressure,Kathmandu_Wind_Speed,Kathmandu_Temperature,Kathmandu_Precipitation,Kathmandu_Rainfall_MM,Kathmandu_Air_Pressure,Kavre_Wind_Speed,Kavre_Temperature,Kavre_Precipitation,Kavre_Rainfall_MM,Kavre_Air_Pressure,Sarlahi_Wind_Speed,Sarlahi_Temperature,Sarlahi_Precipitation,Sarlahi_Rainfall_MM,Sarlahi_Air_Pressure,day,month,day_of_week,is_weekend,month_sin,month_cos
0.7967132842304975,-1.3619777609986994,2.438701239950667,0.14051817574377345,-0.01340278473351261,-0.015553168234797899,0.41223304673928574,0.006004383588613437,2.2341580569929045,1.2374636032912283,-0.15285192343271456,-0.006060567529595172,-0.0027475481092293333,0.007604791812870659,-0.056599217660956117,-0.24348720963640427,-0.0038706366534420117,-0.0007116457703276776,-0.19044381569151791,0.11604449269889255,-0.06423871340672663,0.05979199946021857,0.06518730069400594,-0.1759634433054494,-0.02889408791663371,0.03591575017040182,-0.0036253966300828127,-0.0013138430428220674,-0.05487466419112052,-0.0034136023367487313,-3.710517700804897,-0.0004959373338598804,-3.184674268312052e-05,-1.5323155347182995,0.13410521995784488
0.7927158971923925,-1.2388210691781345,2.440800640555436,0.14043729058775428,-0.01340278473351261,-0.015553168234797899,0.4255121742701019,0.006004383588613437,2.2357462999620066,1.2333895161543802,-0.14943790254380887,-0.006185918744769119,-0.0027475481092293333,-0.01095571270716653,-0.05544834483703204,-0.24148199275163132,-0.0038706366534420117,-0.0007116457703276776,-0.20453477159682487,0.14458714899790734,-0.06428852708271336,0.05979199946021857,0.06518730069400594,-0.19545097965450464,-0.048162910554498395,0.03525635551467809,-0.0036253966300828127,-0.0013138430428220674,-0.084473385460887,-0.02221392032084307,-3.7125784775353994,-0.00131316505402661,5.307790447186758e-05,-1.5394010420674058,0.13173139106445772
0.7993547880570016,-1.2274479276401182,2.390035341898603,0.14070373025794752,-0.01340278473351261,-0.015553168234797899,0.42278386394184064,0.006004383588613437,2.2686578587106485,1.2229027132306003,-0.12702437676367936,-0.006185918744769119,-0.0027475481092293333,-0.017783064131057666,-0.06866930843504404,-0.005047332910480742,-0.0038706366534420117,-0.0007116457703276776,-0.22509212065198064,0.08872689639167117,-0.06241951698684763,0.06445751906718854,0.07202346061676039,-0.2246892656836894,-0.020865257773546118,0.03746117713207673,-0.0036253966300828127,-0.0013138430428220674,-0.08828673734222946,-0.06168583465324645,-3.7860487367399265,-0.001519988123252907,5.307790447186758e-05,-1.5613309819141579,0.1336346300910504
0.8056854953783369,-1.1144230917538038,2.230896803963856,0.1390062427946954,-0.01340278473351261,-0.012444756739775768,0.4296524033015925,0.007162254665533617,2.1575716244541763,1.2485458751511813,0.013202523018513181,-0.006185918744769119,-0.0026776419209436253,-0.015747397489758556,-0.08387150946631243,0.029943395332511644,-0.0038706366534420117,-0.00106386839993487,-0.22002720604169063,0.14548553477245674,-0.060857281789552166,0.06919568975577498,0.08076365226026558,-0.21968878650753076,0.5976679522828046,0.0246429931969131,-0.0036253966300828127,-0.0010986052237943796,-0.10816061740441944,-0.09528046832296244,-3.8332395229008385,0.002786629410933635,-3.184674268312052e-05,-1.4924410201567535,0.11318607966429399
0.8052125585897129,-1.0787570916501608,2.2141033187851846,0.1398022694221867,-0.01340278473351261,-0.013564331373312864,0.429096518363547,0.007162254665533617,2.1778591472974296,1.2579153285095015,0.023579000452143846,-0.006027874874389861,-0.0026776419209436253,-0.015567680924091894,-0.0973441944406006,0.0281514779846106,-0.003834699343541039,-0.00106386839993487,-0.1985241198485415,0.07117525380208145,-0.044003870020492365,0.06919568975577498,0.08125824227442355,-0.2047048410685119,0.5457475018989768,0.02225409857137084,-0.0036253966300828127,-0.0010986052237943796,-0.11068716750592396,-0.14708330030260017,-3.8256076790520246,0.002102451153128043,-3.184674268312052e-05,-1.5060063276024085,0.11543384628633144
0.8049666219051702,-1.0917083500559916,2.1958039563518037,0.14092556320749997,-0.01340278473351261,-0.013564331373312864,0.43470134405721006,0.007162254665533617,2.211470372428795,1.2388948424253203,0.030165179360369894,-0.006027874874389861,-0.0026776419209436253,-0.01585756834220606,-0.09703147618059893,0.03709432559321247,-0.003965010257556806,-0.00106386839993487,-0.20581497402216875,-0.026402902118394855,-0.006205476742418397,0.06919568975577498,0.08283570769587731,-0.19971571917218317,0.5452114776496912,0.021279897763957806,-0.0036253966300828127,-0.0010986052237943796,-0.10695350057953758,-0.21863453797834406,-3.8725694696317876,0.0003514078705231429,-3.184674268312052e-05,-1.512642825240461,0.11548261049451605
0.7823814362518962,-1.14821313718747,2.222766624589407,0.1383748388500043,-0.01340278473351261,-0.013564331373312864,0.44027719578567615,0.007162254665533617,2.182725730288871,0.48313384025446343,0.013024080383447652,-0.006166039856419041,-0.0026776419209436253,-0.01599282263625522,-0.04348232694858341,0.037657349139195086,-0.00431540161819158,-0.0009662194033564621,-0.20666161919370934,0.06887343226447348,-0.05538498826156523,0.06324192401964135,0.08045963508273565,-0.20588308619777512,0.5335586786164872,0.020341869225155733,-0.002276215213516696,-0.0011560106494762678,-0.10379744148038673,-0.3047146742192391,-3.996281519741771,-0.0009401667652215943,-3.184674268312052e-05,-1.5676801737356505,0.12368930189021464
0.7726663983958721,-1.290294591223448,2.4773617553366116,0.14121777269718808,-0.01905686263393874,-0.016744953106898604,0.4169709262016248,0.007162254665533617,2.3467601369010618,0.4047470810704009,-0.16126371118951083,-0.006166039856419041,-0.0027475481092293333,-0.016217797013681545,-0.04063888405486836,-0.18224638072273386,-0.00431540161819158,-0.0009662194033564621,-0.20639956458253694,-0.022556140529501487,-0.0641145495670195,0.05416536596321661,0.06764653643450587,-0.21385877684111443,-0.020183539900730695,0.023854886441178808,-0.003935301711037911,-0.0012817087549770456,-0.1211391660861828,-0.37692753281638486,-3.9143366331687766,-0.0006829958858704413,-3.184674268312052e-05,-1.6063332899083616,0.15618063405916363
0.7750120067630628,-1.179196868626286,2.49330128021538,0.1352520209843391,-0.01340278473351261,-0.012444756739775768,0.424464679048295,0.005171661878763545,2.165040569203184,0.4103172640008897,-0.15850574709654192,-0.006429675303797971,-0.0027475481092293333,-0.01810656726024661,-0.017910139466846733,-0.2377645309776869,-0.004351338928092553,-0.0009555076135992723,-0.21709539434266212,0.06695087180035278,-0.062402050769063834,0.053875180424272376,0.062265394690084366,-0.22719275467907524,0.564114045853674,0.01961064580804732,-0.002206730651506421,-0.0012817087549770456,-0.103320698651312,-0.38812103642349266,-3.8719207237533326,-0.001649221399934457,5.307790447186758e-05,-1.5120261700523379,0.11303342859930891
0.7942778778642211,-1.1643792427874502,2.52418322225982,0.13800443065289067,-0.01340278473351261,-0.015553168234797899,0.4228119769190888,0.005171661878763545,2.319403732689596,1.1196613867846907,-0.14482556404116645,-0.006429675303797971,-0.0026758178476502595,-0.0166317751546389,-0.06743524464051756,-0.22662453601075022,-0.004351338928092553,-0.0009555076135992723,-0.22555069797529528,-0.01602828957364914,-0.06132241863595818,-0.0446913044791548,-0.016704364356988417,-0.2140990024465126,0.05614565916939952,0.046825125022795504,-0.002206730651506421,-0.0012817087549770456,-0.09823214655600246,-0.4075322135096171,-3.669408203950871,-0.0014160891603222385,5.307790447186758e-05,-1.4737003555590344,0.13485623870018362
