Supply_Volume,USD_TO_NPR,Diesel,is_festival,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation,Dhading_Rainfall_MM,Dhading_Air_Pressure,Kathmandu_Temperature,Kathmandu_Rainfall_MM,Kathmandu_Air_Pressure,Kavre_Rainfall_MM,Sarlahi_Temperature,Sarlahi_Rainfall_MM,Sarlahi_Air_Pressure,Hilly_Temperature,Hilly_Air_Pressure,day,month,day_of_week,is_weekend,month_sin,month_cos,Average_Price_lag1,Average_Price_lag3,Average_Price_lag7,Average_Price_lag14,Supply_Volume_lag1,Supply_Volume_lag3,Supply_Volume_lag7,Sarlahi_Temperature_lag1,Sarlahi_Temperature_lag3,Sarlahi_Temperature_lag7,Sarlahi_Rainfall_MM_lag1,Sarlahi_Rainfall_MM_lag3,Sarlahi_Rainfall_MM_lag7,Hilly_Temperature_lag1,Hilly_Temperature_lag3,Hilly_Temperature_lag7,Hilly_Air_Pressure_lag1,Hilly_Air_Pressure_lag3,Dhading_Rainfall_MM_lag1,Dhading_Rainfall_MM_lag3,Dhading_Rainfall_MM_lag7,Kavre_Rainfall_MM_lag1,Kavre_Rainfall_MM_lag3,Kavre_Rainfall_MM_lag7,Kathmandu_Air_Pressure_lag1,Kathmandu_Air_Pressure_lag3,Kathmandu_Rainfall_MM_lag1,Kathmandu_Rainfall_MM_lag3,Kathmandu_Rainfall_MM_lag7,Supply_Volume_rollmean_3,Supply_Volume_rollstd_3,Supply_Volume_rollmean_7,Supply_Volume_rollstd_7,Sarlahi_Temperature_rollmean_3,Sarlahi_Temperature_rollstd_3,Sarlahi_Temperature_rollmean_7,Sarlahi_Temperature_rollstd_7,Sarlahi_Rainfall_MM_rollmean_3,Sarlahi_Rainfall_MM_rollstd_3,Sarlahi_Rainfall_MM_rollmean_7,Sarlahi_Rainfall_MM_rollstd_7,Hilly_Temperature_rollmean_3,Hilly_Temperature_rollstd_3,Hilly_Temperature_rollmean_7,Hilly_Temperature_rollstd_7,Hilly_Air_Pressure_rollmean_3,Hilly_Air_Pressure_rollstd_3,Dhading_Rainfall_MM_rollmean_3,Dhading_Rainfall_MM_rollstd_3,Dhading_Rainfall_MM_rollmean_7,Dhading_Rainfall_MM_rollstd_7,Kavre_Rainfall_MM_rollmean_3,Kavre_Rainfall_MM_rollstd_3,Kavre_Rainfall_MM_rollmean_7,Kavre_Rainfall_MM_rollstd_7,Kathmandu_Air_Pressure_rollmean_3,Kathmandu_Air_Pressure_rollstd_3,Kathmandu_Rainfall_MM_rollmean_3,Kathmandu_Rainfall_MM_rollstd_3,Kathmandu_Rainfall_MM_rollmean_7,Kathmandu_Rainfall_MM_rollstd_7,Average_Price
11625.0,118.95,119.0,0,0,0,0,1,6.03,0.0,1017.575,8.363167,0.0,1017.75,0.0,12.627834,0.0,1017.28754,9.1998335,1017.71038,15,1,5,1,0.4999999999999999,0.8660254037844387,76.67,76.67,76.67,115.0,11812.5,12000.0,33500.0,13.8965845,15.204919,16.029917,0.0,3.0,0.0,9.4206665,10.4050405,13.702959,1017.31665,1016.4208,0.0,3.8,1.4000001,0.0,3.1000001,0.2,1017.3916,1017.0417,0.0,2.8000002,1.5,11937.5,108.25317547509333,20401.785714285714,10387.533665637957,14.598667833333332,0.6594108310443417,15.681107928571427,1.1420107631005616,1.3,1.5394804318340654,0.5714285714285714,1.1205865810879077,9.645666166666667,0.6755851213950208,11.650130928571429,1.9830444849563709,1016.9701,0.48111067074035874,1.2666666666666666,2.1939310229205775,0.7428571571428572,1.4455185337547811,2.666666566666667,2.478574687866679,1.3714285285714287,1.8927177654166603,1017.3235666666666,0.25475679251708805,2.3333334999999997,2.1385354770652487,2.0142857857142857,2.1027193922111835,76.67
11437.5,118.95,119.0,0,0,0,0,1,6.03,0.0,1018.6333,8.981916,0.0,1019.11664,0.0,12.609082,0.0,1018.7,10.1737915,1018.98538,16,1,6,1,0.4999999999999999,0.8660254037844387,76.67,76.67,75.0,115.0,11625.0,12000.0,34500.0,12.627834,14.6945,16.115335,0.0,0.9,0.0,9.1998335,9.1112915,13.621709,1017.71038,1017.17285,0.0,0.0,0.0,0.0,4.8999996,0.0,1017.75,1017.5374,0.0,4.2000003,0.0,11812.5,187.50000000118632,17276.785714285714,8986.23492652857,13.739639500000001,1.0422336056075707,15.195096071428571,1.6006505310770873,0.3,0.5196152422706628,0.5714285714285714,1.1205865810879077,9.2439305,0.15933182893882591,11.006827285714285,1.935965303370259,1017.3999600000001,0.2782805100979445,0.0,0.0,0.5428571428571428,1.4362649974350634,1.6333332000000003,2.829016088089059,1.3428570999999998,1.914729761735639,1017.5596666666667,0.18023455088707857,1.4000001,2.4248713038015093,1.8000000714285715,2.236068046072544,66.67
11250.0,118.95,119.0,0,0,0,0,1,6.03,0.0,1019.32495,10.7965,0.0,1020.00836,0.0,12.384083,0.0,1019.3042,11.21233325,1019.658325,17,1,0,0,0.4999999999999999,0.8660254037844387,66.67,76.67,76.67,95.0,11437.5,11812.5,14000.0,12.609082,13.8965845,16.696585,0.0,0.0,0.0,10.1737915,9.4206665,13.1685835,1018.98538,1017.31665,0.0,0.0,0.0,0.0,0.0,0.6,1019.11664,1017.3916,0.0,0.0,5.2,11625.0,187.50000000120045,13982.142857142857,4932.713170881774,13.044500166666667,0.7379862415452555,14.694202785714285,1.8007805364191796,0.0,0.0,0.5714285714285714,1.1205865810879077,9.598097166666667,0.5106464310521759,10.514267642857144,1.5623597090776364,1018.0041366666666,0.8722870442887485,0.0,0.0,0.5428571428571428,1.4362649974350634,0.0,0.0,1.3428570999999998,1.914729761735639,1018.08608,0.9103038367489198,0.0,0.0,1.8000000714285715,2.236068046072544,66.67
22500.0,119.09,119.0,0,0,0,0,1,6.03,0.0,1016.68353,11.652751,0.0,1017.5542,0.0,11.821584,0.0,1016.85004,11.2842085,1017.11044,18,1,1,0,0.4999999999999999,0.8660254037844387,66.67,76.67,76.67,96.67,11250.0,11625.0,25000.0,12.384083,12.627834,17.129915,0.0,0.0,0.1,11.21233325,9.1998335,12.1206665,1019.658325,1017.71038,0.0,0.0,0.0,0.0,0.0,0.8,1020.00836,1017.75,0.0,0.0,0.4,11437.5,187.50000000121454,13589.285714285714,5039.409421889496,12.540332999999999,0.1356409092088744,14.078131071428572,1.738158586662774,0.0,0.0,0.5714285714285714,1.1205865810879077,10.195319416666667,1.0064225749328706,10.234803321428572,1.121086373198629,1018.7846949999999,0.9893575100417971,0.0,0.0,0.5428571428571428,1.4362649974350634,0.0,0.0,1.2571428142857144,1.9662629661123123,1018.9583333333334,1.1374722954572751,0.0,0.0,1.0571429285714284,1.7232307564571894,66.67
24250.0,119.62,122.0,0,0,0,0,1,6.03,0.0,1014.55835,11.079833,0.0,1015.3582,0.0,12.238251,0.0,1014.4626,10.647748750000002,1014.866675,19,1,2,0,0.4999999999999999,0.8660254037844387,66.67,66.67,76.67,86.67,22500.0,11437.5,12000.0,11.821584,12.609082,15.204919,0.0,0.0,3.0,11.2842085,10.1737915,10.4050405,1017.11044,1018.98538,0.0,0.0,3.8,0.0,0.0,3.1000001,1017.5542,1019.11664,0.0,0.0,2.8000002,15062.5,6441.746172428742,13232.142857142857,4096.288062729133,12.271583,0.4056235477644393,13.31979807142857,1.2832451442209725,0.0,0.0,0.5571428571428572,1.1282097069504158,10.890111083333332,0.6213910379066915,10.11530932142857,0.9115762470668536,1018.584715,1.3203517807675087,0.0,0.0,0.5428571428571428,1.4362649974350634,0.0,0.0,1.1428571,2.019783001663681,1018.8930666666666,1.242261688587739,0.0,0.0,1.0000000714285713,1.754993002835059,66.67
10625.0,119.39,122.0,0,0,0,0,1,6.03,0.1,1011.93335,9.561084,1.5000001,1013.0083,0.90000004,13.136166,0.5,1011.9792,9.860249,1012.329195,20,1,3,0,0.4999999999999999,0.8660254037844387,66.67,66.67,76.67,96.67,24250.0,11250.0,12000.0,12.238251,12.384083,14.6945,0.0,0.0,0.9,10.647748750000002,11.21233325,9.1112915,1014.866675,1019.658325,0.0,0.0,0.0,0.0,0.0,4.8999996,1015.3582,1020.00836,0.0,0.0,4.2000003,19333.333333333332,7054.844671098972,14982.142857142857,5760.714008945174,12.147972666666666,0.29191422430629044,12.895988357142857,1.0197278260984965,0.0,0.0,0.1285714285714286,0.34016802570830534,11.048096833333334,0.34856915205182526,10.14998192857143,0.928884616691567,1017.2118133333333,2.3974329698990116,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999428571428,1.8520257665594242,1017.6402533333334,2.326274035562833,0.0,0.0,0.6000000428571427,1.587450900028097,55.0
23250.0,119.51,122.0,0,0,0,0,1,6.03,0.2,1013.04175,8.423583,6.8999996,1013.55005,4.2999997,14.71325,0.0,1011.97925,8.786291,1013.197975,21,1,4,0,0.4999999999999999,0.8660254037844387,55.0,66.67,76.67,96.67,10625.0,22500.0,11812.5,13.136166,11.821584,13.8965845,0.5,0.0,0.0,9.860249,11.2842085,9.4206665,1012.329195,1017.11044,0.1,0.0,0.0,0.90000004,0.0,0.0,1013.0083,1017.5542,1.5000001,0.0,0.0,19125.0,7413.037501591385,14785.714285714286,5901.0787704251115,12.398667000000001,0.6718120484726434,12.673369214285714,0.6727053871232661,0.16666666666666666,0.288675134594812,0.07142857142857142,0.18898223650461513,10.597402083333334,0.7133135737832149,10.256975857142857,0.8268306199974368,1014.76877,2.3921256194595317,0.03333333333333333,0.05773502691893989,0.014285714285714287,0.03779644730091885,0.30000001333333365,0.519615265364674,0.1285714342857143,0.3401680408268826,1015.3069,2.2733841448382384,0.5000000333333333,0.8660254615194665,0.21428572857142844,0.5669467473102902,56.67
17625.0,119.37,122.0,0,0,0,0,1,6.03,0.0,1011.7459,8.092334,0.90000004,1012.2376,1.1,14.248665,0.0,1010.7874,9.22795775,1011.91045,22,1,5,1,0.4999999999999999,0.8660254037844387,56.67,66.67,76.67,76.67,23250.0,24250.0,11625.0,14.71325,12.238251,12.627834,0.0,0.0,0.0,8.786291,10.647748750000002,9.1998335,1013.197975,1014.866675,0.2,0.0,0.0,4.2999997,0.0,0.0,1013.55005,1015.3582,6.8999996,0.0,0.0,19375.0,7594.200089542034,16419.64285714286,6494.259713484709,13.362555666666665,1.252934245433631,12.790035714285716,0.9385072994169587,0.16666666666666666,0.288675134594812,0.07142857142857142,0.18898223650461513,9.764762916666667,0.9343952230408249,10.166350785714286,0.9581147746292061,1013.464615,1.2895828220006018,0.10000000000000002,0.09999999999998735,0.042857142857142864,0.0786795792469425,1.7333332466666669,2.2678916486463887,0.7428571057142858,1.6040127147993897,1013.9721833333333,1.2305100226474281,2.7999999,3.629049218459302,1.199999957142857,2.574878492278816,56.67
12000.0,119.37,122.0,0,0,0,0,1,6.03,0.0,1012.1584,9.209001,4.2999997,1012.7459,3.6,14.9799185,0.0,1011.70416,10.38941675,1012.358375,23,1,6,1,0.4999999999999999,0.8660254037844387,56.67,55.0,66.67,75.0,17625.0,10625.0,11437.5,14.248665,13.136166,12.609082,0.0,0.5,0.0,9.22795775,9.860249,10.1737915,1011.91045,1012.329195,0.0,0.1,0.0,1.1,0.90000004,0.0,1012.2376,1013.0083,0.90000004,1.5000001,0.0,17166.666666666668,6324.967061837843,17276.785714285714,6142.392095491944,14.032693666666667,0.8104203837394154,13.021583000000001,1.0809537983287445,0.16666666666666666,0.288675134594812,0.07142857142857142,0.18898223650461513,9.291499250000001,0.5397912449342621,10.170368535714287,0.9534338255190877,1012.4792066666665,0.6567402694422096,0.10000000000000002,0.09999999999998735,0.042857142857142864,0.0786795792469425,2.0999999133333334,1.907878217287475,0.8999999628571429,1.5726833735158983,1012.9319833333333,0.6595448626412298,3.0999999133333334,3.3045420608610923,1.3285713914285713,2.5269969416002804,56.67
16625.0,119.37,122.0,0,0,0,0,1,6.03,0.0,1013.16254,7.825666,1.9,1013.30835,4.8,14.836167,0.0,1011.94165,9.673792,1013.09589,24,1,0,0,0.4999999999999999,0.8660254037844387,56.67,56.67,66.67,76.67,12000.0,23250.0,11250.0,14.9799185,14.71325,12.384083,0.0,0.0,0.0,10.38941675,8.786291,11.21233325,1012.358375,1013.197975,0.0,0.2,0.0,3.6,4.2999997,0.0,1012.7459,1013.55005,4.2999997,6.8999996,0.0,17625.0,5625.000000000027,17357.14285714286,6056.34505920778,14.647277833333334,0.37006373153362393,13.360273928571429,1.2827513869680827,0.0,0.0,0.07142857142857142,0.18898223650461513,9.467888499999999,0.8280568314885948,10.201172142857143,0.9570392473552614,1012.4889333333334,0.6536162981497875,0.06666666666666667,0.11547005383791402,0.042857142857142864,0.0786795792469425,2.9999999,1.682260268210609,1.4142856771428571,1.8013221836565902,1012.8445166666667,0.6617591599944213,4.033333113333334,3.0088755343705036,1.9428570628571429,2.668867965547162,56.67
