Date,Average_Price,Supply_Volume,USD_TO_NPR,Diesel,is_festival,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation,Dhading_Wind_Speed,Dhading_Temperature,Dhading_Precipitation,Dhading_Rainfall_MM,Dhading_Air_Pressure,Kathmandu_Wind_Speed,Kathmandu_Temperature,Kathmandu_Precipitation,Kathmandu_Rainfall_MM,Kathmandu_Air_Pressure,Kavre_Wind_Speed,Kavre_Temperature,Kavre_Precipitation,Kavre_Rainfall_MM,Kavre_Air_Pressure,Sarlahi_Wind_Speed,Sarlahi_Temperature,Sarlahi_Precipitation,Sarlahi_Rainfall_MM,Sarlahi_Air_Pressure,day,month,day_of_week,is_weekend,month_sin,month_cos,Average_Price_lag1,Average_Price_lag3,Average_Price_lag7,Supply_Volume_lag1,Supply_Volume_lag7,Supply_Volume_lag30,Average_Price_rollmean_7,Average_Price_rollmean_30,Supply_Volume_rollmean_30,Supply_Volume_rollmean_90
2022-04-10,75.0,79875.0,121.74,143.0,0,False,False,True,False,7.61,4.1702113,19.158167,5.1999993,5.1999993,1008.6458,4.6122594,18.411081,1.2,1.2,1009.90015,3.962938,19.651918,0.9000001,0.9000001,1009.1917,10.778968,26.021584,2.9,2.9,1005.7126,10,4,6,1,0.8660254037844387,-0.4999999999999998,65.0,65.0,55.0,72385.0,141475.0,47500.0,63.57142857142857,60.422666666666665,90754.46666666666,54242.26666666667
2022-04-11,75.0,121975.0,121.74,143.0,0,False,False,True,False,7.61,4.7800913,21.020668,0.1,0.1,1007.6375,4.010149,20.15275,0.2,0.2,1009.1084,5.0512443,21.214418,0.1,0.1,1008.44147,10.019483,27.052835,0.1,0.1,1005.12506,11,4,0,0,0.8660254037844387,-0.4999999999999998,75.0,65.0,55.0,79875.0,105025.0,69250.0,66.42857142857143,61.367,92511.96666666666,55319.76666666667
2022-04-12,75.0,57350.0,121.83,143.0,0,False,False,True,False,7.61,3.886482,20.020668,10.4,10.4,1009.0293,2.7415292,19.740248,1.7000002,1.7000002,1010.30414,3.559618,20.531082,1.2000002,1.2000002,1009.63336,10.519433,28.161165,0.0,0.0,1005.44586,12,4,1,0,0.8660254037844387,-0.4999999999999998,75.0,65.0,55.0,121975.0,72750.0,88375.0,69.28571428571429,62.367,91477.8,55823.65555555555
2022-04-13,55.0,82450.0,122.12,143.0,1,False,False,True,False,7.61,4.5669055,20.395666,10.5,10.5,1007.25,4.9438086,19.99025,5.4000006,5.4000006,1008.63336,5.1255927,21.091505,4.0,4.0,1007.75824,8.419097,28.517418,0.0,0.0,1003.11255,13,4,2,0,0.8660254037844387,-0.4999999999999998,75.0,75.0,65.0,57350.0,80900.0,35506.0,67.85714285714286,62.31133333333333,93042.6,56606.433333333334
2022-04-14,66.67,107950.0,122.19,143.0,1,False,False,True,False,7.61,5.410546,22.00817,0.1,0.1,1004.86237,7.4587364,21.165249,0.0,0.0,1006.50006,7.0414433,22.6165,0.0,0.0,1005.7874,9.230577,28.467415,0.0,0.0,1000.63336,14,4,3,0,0.8660254037844387,-0.4999999999999998,55.0,75.0,65.0,82450.0,125650.0,56500.0,68.09571428571428,62.50033333333333,94757.6,57672.544444444444
2022-04-15,56.67,93750.0,122.19,143.0,0,False,False,True,False,7.61,7.348749,21.635252,0.0,0.0,1004.3584,5.7813296,22.256912,0.0,0.0,1006.2249,5.212712,23.454,0.4,0.4,1005.6001,9.051255,27.542418,0.0,0.0,1000.63745,15,4,4,0,0.8660254037844387,-0.4999999999999998,66.67,75.0,65.0,107950.0,78285.0,93695.0,66.90571428571428,62.556000000000004,94759.43333333333,58580.87777777778
2022-04-16,56.67,77935.0,122.19,143.0,0,False,False,True,False,7.61,5.9628654,21.720667,0.0,0.0,1004.6125,6.1866975,21.756918,0.0,0.0,1006.71655,6.651071,23.78942,0.0,0.0,1005.80005,9.281534,27.479914,0.0,0.0,1000.5208,16,4,5,1,0.8660254037844387,-0.4999999999999998,56.67,55.0,65.0,93750.0,72385.0,107243.0,65.71571428571428,62.27833333333333,93782.5,59313.48888888889
2022-04-17,55.0,40075.0,122.19,143.0,0,False,False,True,False,7.61,5.295776,22.056084,0.0,0.0,1005.60016,5.6631894,22.325666,0.0,0.0,1007.575,4.9489017,23.943583,0.0,0.0,1006.875,8.488124,28.261168,0.0,0.0,1002.06665,17,4,6,1,0.8660254037844387,-0.4999999999999998,56.67,66.67,75.0,77935.0,79875.0,93260.0,62.85857142857143,61.945,92009.66666666667,59633.76666666667
2022-04-18,55.0,76885.0,122.19,143.0,0,False,False,True,False,7.61,5.237004,22.758165,0.0,0.0,1008.1165,3.4255493,22.448584,0.0,0.0,1010.0542,5.4906535,23.437338,0.0,0.0,1009.5,11.943523,29.72783,0.0,0.0,1005.0208,18,4,0,0,0.8660254037844387,-0.4999999999999998,55.0,56.67,75.0,40075.0,121975.0,97000.0,60.00142857142857,61.861666666666665,91339.16666666667,60238.044444444444
2022-04-19,56.67,64475.0,122.32,143.0,0,False,False,True,False,7.61,3.9573987,21.304,2.0,2.0,1010.3708,5.447453,20.869417,1.4,1.4,1011.7292,3.9436264,21.893585,4.0,4.0,1011.1375,14.228976,29.671587,0.7,0.7,1006.8709,19,4,1,0,0.8660254037844387,-0.4999999999999998,55.0,56.67,75.0,76885.0,57350.0,50625.0,57.38285714285714,61.75066666666667,91800.83333333333,60684.98888888889
2022-04-20,56.67,48450.0,122.72,143.0,0,False,False,True,False,7.61,2.6816041,19.643587,23.599998,23.599998,1010.20416,3.3085773,19.03192,12.3,12.3,1011.64996,3.9909916,20.354002,9.6,9.6,1010.75836,17.528303,28.034082,0.0,0.0,1006.8459,20,4,2,0,0.8660254037844387,-0.4999999999999998,56.67,55.0,55.0,64475.0,82450.0,55575.0,57.621428571428574,61.473,91563.33333333333,61105.26666666667
2022-04-21,55.0,46575.0,122.24,143.0,0,False,False,True,False,7.61,4.3851743,20.312334,4.8999996,4.8999996,1010.25836,3.8410537,19.513166,3.2999997,3.2999997,1011.6875,4.440413,20.389418,2.4,2.4,1010.87067,10.593652,28.461166,0.0,0.0,1006.51245,21,4,3,0,0.8660254037844387,-0.4999999999999998,56.67,55.0,66.67,48450.0,107950.0,97350.0,55.954285714285724,61.13966666666667,89870.83333333333,61364.433333333334
2022-04-22,56.67,59156.0,122.14,143.0,0,False,False,True,False,7.61,4.7745223,19.981085,3.9,3.9,1010.05005,6.459927,19.556915,1.0,1.0,1011.2835,6.102724,21.2915,1.2,1.2,1010.33746,7.2733097,28.211168,1.0000001,1.0000001,1006.05414,22,4,4,0,0.8660254037844387,-0.4999999999999998,55.0,56.67,56.67,46575.0,93750.0,132595.0,55.95428571428572,60.69533333333334,87422.86666666667,61763.38888888889
2022-04-23,56.67,48750.0,122.68,143.0,0,False,False,True,False,7.61,5.5604053,21.78525,0.0,0.0,1008.05,7.5678897,21.006918,0.0,0.0,1009.68756,5.3574185,23.14775,0.0,0.0,1008.82916,11.013588,28.732,0.0,0.0,1004.7083,23,4,5,1,0.8660254037844387,-0.4999999999999998,56.67,56.67,56.67,59156.0,77935.0,159257.5,55.95428571428572,60.33433333333333,83739.28333333334,62171.72222222222
2022-04-24,55.0,47700.0,122.68,143.0,0,False,False,True,False,7.61,5.8765635,22.831085,0.0,0.0,1005.3374,6.464809,22.294416,0.0,0.0,1007.1667,4.886372,23.822752,0.0,0.0,1006.5708,8.531068,27.892416,0.0,0.0,1002.0708,24,4,6,1,0.8660254037844387,-0.4999999999999998,56.67,55.0,55.0,48750.0,40075.0,185920.0,55.95428571428572,60.001,79131.95,62517.0
