RMSE,MAE,R2,Model,Dropped_Group,Dropped_Count
22.935456433158596,18.222292374540785,-0.9088266555383249,LightGBM,climate_cols,5
20.830012705145553,17.912581001318273,-0.5744569343382331,Linear,climate_cols,5
28.714105952603266,23.78118000032341,-1.9918672058148004,RandomForest,climate_cols,5
24.147072968905785,19.009686658838596,-1.1158296816956579,XGBoost,climate_cols,5
20.837220209733214,17.073521252978185,-0.5755466954452337,LightGBM,economic_cols,3
19.75110672525831,16.51442960518534,-0.41558055304379504,Linear,economic_cols,3
27.586439316803776,21.18265932359937,-1.761487060168605,RandomForest,economic_cols,3
23.33756564881812,18.179610860666212,-0.9763452832638295,XGBoost,economic_cols,3
23.12019798392778,18.701677476141988,-0.9397011076080384,LightGBM,market_cols,1
21.783660502857558,18.752213607107127,-0.7219218468764363,Linear,market_cols,1
25.36020995925479,21.000839895093552,-1.3337665236769136,RandomForest,market_cols,1
23.709359323618923,18.73368244873488,-1.0398176885399306,XGBoost,market_cols,1
20.088594319246077,15.837369744012694,-0.46436996682715104,LightGBM,temporal_cols,8
20.93947698863009,16.961906726544672,-0.5910483454407229,Linear,temporal_cols,8
25.179077478184887,21.042034066200582,-1.3005482417501377,RandomForest,temporal_cols,8
22.264631609989703,17.737899154497832,-0.7987994401218292,XGBoost,temporal_cols,8
