RMSE,MAE,R2,Model,Dropped_Feature
20.194104046717968,16.520304559961264,-0.47979275067629534,LightGBM,USD_TO_NPR
21.411341554426727,18.082421247855244,-0.6635638529229158,Linear,USD_TO_NPR
23.981667347781745,19.323203298714237,-1.086942413352662,RandomForest,USD_TO_NPR
20.901211959845035,16.698296405227605,-0.5852386604136199,XGBoost,USD_TO_NPR
23.21073120948219,18.5357434844929,-0.954921670729348,LightGBM,is_weekend
21.504906790088164,18.175266716188894,-0.6781348067459292,Linear,is_weekend
29.076933944972634,24.071393283568376,-2.067954652652375,RandomForest,is_weekend
23.924395363259805,18.894164898042646,-1.0769864239189744,XGBoost,is_weekend
23.21073120948219,18.5357434844929,-0.954921670729348,LightGBM,Season_Monsoon
21.50159586329313,18.169348239583304,-0.6776181103628516,Linear,Season_Monsoon
28.947697212924435,23.894594899082207,-2.0407433036492075,RandomForest,Season_Monsoon
23.952520788274725,18.89227318553718,-1.0818726884969747,XGBoost,Season_Monsoon
23.21073120948219,18.5357434844929,-0.954921670729348,LightGBM,month
21.971166673777514,18.497182879599293,-0.7516928353279133,Linear,month
30.171527046856784,24.83735955655023,-2.303286929708501,RandomForest,month
24.14390985173308,19.103882041958695,-1.1152753968046003,XGBoost,month
23.210722387011625,18.53573629373956,-0.954920184586109,LightGBM,Hilly_Rainfall_MM
21.502488872277233,18.162256103308962,-0.6777574636614871,Linear,Hilly_Rainfall_MM
29.09673089398542,24.043138263057212,-2.0721336914714668,RandomForest,Hilly_Rainfall_MM
23.960307508675648,18.91744474004752,-1.083226499704403,XGBoost,Hilly_Rainfall_MM
23.719379134999446,19.0895519909258,-1.0415421473906585,LightGBM,Diesel
18.969511278654497,15.950213782130959,-0.30576192413360936,Linear,Diesel
26.05101140209604,22.182490269667074,-1.4626398012009632,RandomForest,Diesel
22.38498890598457,17.970607101495517,-0.8182997678602166,XGBoost,Diesel
23.206550988957567,18.523138857375113,-0.9542175767708247,LightGBM,is_festival
21.596574698436076,18.200937966738575,-0.6924719041640048,Linear,is_festival
28.86666939016647,23.92517499320726,-2.023744370821214,RandomForest,is_festival
24.03615221612638,18.9758412159393,-1.0964359942934903,XGBoost,is_festival
23.12019798392778,18.701677476141988,-0.9397011076080384,LightGBM,Supply_Volume
21.783660502857558,18.752213607107127,-0.7219218468764363,Linear,Supply_Volume
25.36020995925479,21.000839895093552,-1.3337665236769136,RandomForest,Supply_Volume
23.709359323618923,18.73368244873488,-1.0398176885399306,XGBoost,Supply_Volume
