feature,importance_mean,importance_std
Supply_Volume,0.023727253807800518,0.023955131748822207
month_sin,0.015395839808510914,0.03009825054602361
Hilly_Temperature,0.008106058667285688,0.0021629740245739082
month,0.0052334193149595086,0.00415614094121648
is_festival,0.0027411453767477224,0.0007013365005717534
Diesel,0.0020330893118062133,0.004907139226522214
Inflation,0.001873464774723832,0.0019796352494406344
Season_Monsoon,0.0012391730363100263,0.0005320019880204641
day,0.0011122073684018742,0.0034644481392264574
day_of_week,0.0004720595465102839,0.0005135173643970438
Season_Spring,0.000270735200136496,0.00023163636479151103
Season_Autumn,9.035009809137407e-05,0.00013108763137047855
Season_Winter,0.0,0.0
is_weekend,0.0,0.0
Sarlahi_Rainfall_MM,-0.0002873366037194014,0.0005539404012979384
Kathmandu_Rainfall_MM,-0.0005219014868266036,0.000758708793820426
month_cos,-0.0020686447830120525,0.0037005826036447466
USD_TO_NPR,-0.006025581246661593,0.0007306775472870978
Hilly_Rainfall_MM,-0.00605331684240884,0.0017829983721271076
Sarlahi_Temperature,-0.009970747124241753,0.0022842337470442677
