RMSE,MAE,R2,Model,Dropped_Feature
5.958902506202511,4.160561900066386,0.8712774507727707,LightGBM,month_cos
4.227500820826377,2.779701249602886,0.9352127608607836,Linear,month_cos
4.697152710432516,3.084700272441792,0.9200181524826279,RandomForest,month_cos
5.780252346831037,4.182717653910319,0.8788800537519074,XGBoost,month_cos
6.012687191569167,4.2364147662008635,0.8689432805293575,LightGBM,Season_Autumn
4.224405730931935,2.7988745092913643,0.9353075917943339,Linear,Season_Autumn
4.709924115858534,3.083693652020579,0.9195826251107551,RandomForest,Season_Autumn
5.977534934543066,4.263935159876727,0.8704712072142331,XGBoost,Season_Autumn
5.808985602025413,3.9963911557878395,0.8776729022420707,LightGBM,Sarlahi_Temperature_lag3
4.129639030957118,2.7389053097034313,0.9381775437569716,Linear,Sarlahi_Temperature_lag3
4.717137507175627,3.0883128932958295,0.9193361131984382,RandomForest,Sarlahi_Temperature_lag3
5.836059295944084,4.1692097832500075,0.8765299956069277,XGBoost,Sarlahi_Temperature_lag3
5.983043808514866,4.19935405544049,0.8702323506925735,LightGBM,Hilly_Rainfall_MM_lag7
4.22442357295739,2.800786699297718,0.9353070453288167,Linear,Hilly_Rainfall_MM_lag7
4.732973916227646,3.0997599245878003,0.918793593249546,RandomForest,Hilly_Rainfall_MM_lag7
5.886990900015134,4.247008046136386,0.8743655331818219,XGBoost,Hilly_Rainfall_MM_lag7
6.0162692165701,4.259625881034471,0.8687870813903122,LightGBM,Sarlahi_Rainfall_MM
4.223453217579182,2.7978475023919485,0.9353367620206433,Linear,Sarlahi_Rainfall_MM
4.678638630530237,3.0735096737480108,0.9206474153997444,RandomForest,Sarlahi_Rainfall_MM
5.75628696712979,4.131689371855363,0.8798823173025337,XGBoost,Sarlahi_Rainfall_MM
5.942990391582389,4.070930957171297,0.8719639910298962,LightGBM,Season_Winter
4.224405730931939,2.798874509291371,0.9353075917943338,Linear,Season_Winter
4.693158431826466,3.0765954999436955,0.920154121640826,RandomForest,Season_Winter
5.925461479772768,4.230375045555226,0.8727181642396468,XGBoost,Season_Winter
5.839707938242069,4.118782330104721,0.8763755630760177,LightGBM,Sarlahi_Temperature_lag7
4.213893274829451,2.790244294693428,0.935629165979293,Linear,Sarlahi_Temperature_lag7
4.688729469567867,3.0847100474579565,0.9203047526171417,RandomForest,Sarlahi_Temperature_lag7
5.834331797925198,4.198599916541059,0.8766030800665534,XGBoost,Sarlahi_Temperature_lag7
6.000997476515379,4.155734629103563,0.8694523795077511,LightGBM,Sarlahi_Rainfall_MM_lag7
4.223371895177538,2.7909105714179763,0.935339252172144,Linear,Sarlahi_Rainfall_MM_lag7
4.704244564530321,3.079712636807513,0.9197764538078168,RandomForest,Sarlahi_Rainfall_MM_lag7
5.922658486569382,4.247021549611852,0.8728385551115175,XGBoost,Sarlahi_Rainfall_MM_lag7
5.8869851322361795,4.102239240989006,0.8743657793624228,LightGBM,Inflation
4.285872490639065,2.911267770989407,0.9334112957031518,Linear,Inflation
4.685949493110768,3.0664697999907515,0.9203992282031005,RandomForest,Inflation
5.7104446217154985,4.164531264374221,0.8817879032782008,XGBoost,Inflation
5.971637106861973,4.142406562766763,0.870726684307068,LightGBM,Sarlahi_Rainfall_MM_lag1
4.227366054300754,2.799806523171246,0.9352168914392628,Linear,Sarlahi_Rainfall_MM_lag1
4.713956383130727,3.0884270720345,0.919444872083003,RandomForest,Sarlahi_Rainfall_MM_lag1
5.991220413257001,4.3172756681580475,0.8698774197083293,XGBoost,Sarlahi_Rainfall_MM_lag1
6.003290594363098,4.207733487405023,0.8693525900057413,LightGBM,Kathmandu_Rainfall_MM_lag1
4.204015034726647,2.769149037439842,0.935930609421924,Linear,Kathmandu_Rainfall_MM_lag1
4.724232078715574,3.085442554675341,0.9190932938759688,RandomForest,Kathmandu_Rainfall_MM_lag1
5.822772401803915,4.137682095403257,0.8770915613151845,XGBoost,Kathmandu_Rainfall_MM_lag1
6.071331571003058,4.244465911638258,0.8663743056477256,LightGBM,Hilly_Temperature
4.225192232095891,2.810881438828987,0.935283500646806,Linear,Hilly_Temperature
4.688741120235458,3.0714490339086895,0.9203043565593202,RandomForest,Hilly_Temperature
5.874154557193731,4.201197706029035,0.8749128174954939,XGBoost,Hilly_Temperature
5.89754167573706,4.06917932191731,0.8739148007330396,LightGBM,Hilly_Temperature_lag7
4.22943258736765,2.80221559224587,0.9351535379672378,Linear,Hilly_Temperature_lag7
4.726752290488437,3.1011698217917334,0.9190069490829261,RandomForest,Hilly_Temperature_lag7
5.814027867822396,4.201930916827658,0.8774604474416785,XGBoost,Hilly_Temperature_lag7
6.107116002653196,4.334927928845771,0.8647944837589236,LightGBM,USD_TO_NPR
4.117553880834057,2.633053842208181,0.9385388540009522,Linear,USD_TO_NPR
4.7166299574510155,3.0944239090063532,0.9193534706449447,RandomForest,USD_TO_NPR
5.3277772206171345,3.828251508076986,0.8971002818234995,XGBoost,USD_TO_NPR
5.9691096281005755,4.104638427583911,0.8708360902903942,LightGBM,Supply_Volume
4.2245923682443305,2.7990420791288115,0.9353018753529273,Linear,Supply_Volume
4.705736959276988,3.074504875254253,0.9197255448092213,RandomForest,Supply_Volume
5.673142398381907,4.070305740245875,0.8833272481235215,XGBoost,Supply_Volume
5.961365985021943,4.130813048976913,0.8711709980087734,LightGBM,Sarlahi_Temperature_lag1
4.232704845519466,2.8041624090064645,0.9350531573863172,Linear,Sarlahi_Temperature_lag1
4.701773450539839,3.0801092084637482,0.9198607136531742,RandomForest,Sarlahi_Temperature_lag1
5.909146698679637,4.213336824610614,0.8734180984273296,XGBoost,Sarlahi_Temperature_lag1
6.237356399806391,4.490354053670814,0.8589662049777129,LightGBM,Hilly_Temperature_lag1
4.225348587302635,2.8027696264274673,0.9352787108297729,Linear,Hilly_Temperature_lag1
4.695405640727434,3.0797774617411076,0.9200776386798629,RandomForest,Hilly_Temperature_lag1
5.711352836076948,4.095147726086603,0.8817502983389325,XGBoost,Hilly_Temperature_lag1
6.0065066080786895,4.26355499134216,0.8692125746596522,LightGBM,Sarlahi_Rainfall_MM_lag3
4.197168257130737,2.7810062405094356,0.9361391299196484,Linear,Sarlahi_Rainfall_MM_lag3
4.7054208672417035,3.075604784624903,0.9197363287794822,RandomForest,Sarlahi_Rainfall_MM_lag3
5.74560339521807,4.097149687504424,0.8803277763388019,XGBoost,Sarlahi_Rainfall_MM_lag3
6.021787678291499,4.1944440211739575,0.8685462592022338,LightGBM,Average_Price_rollstd_3
4.221665008609302,2.80436726970542,0.9353915072241875,Linear,Average_Price_rollstd_3
4.728086163615515,3.097475828731917,0.918961230716093,RandomForest,Average_Price_rollstd_3
5.91320377421661,4.213381943080736,0.8732442226856281,XGBoost,Average_Price_rollstd_3
