RMSE,MAE,R2,Model,Dropped_Group,Dropped_Count
5.256268076653268,3.670029618401458,0.8998439737227129,LightGBM,climate_cols,33
3.919428773328006,2.4903584076307346,0.9443112300793713,Linear,climate_cols,33
4.388805734767539,2.8687440798699724,0.9301743821069334,RandomForest,climate_cols,33
6.608790041474136,5.1342848736306905,0.8416689902482691,XGBoost,climate_cols,33
5.845886478707057,3.9420052624978803,0.8761138298994353,LightGBM,economic_cols,3
4.12767857419408,2.6266967595084356,0.9382362275707106,Linear,economic_cols,3
4.6157910725091025,2.936443637069504,0.9227649632196178,RandomForest,economic_cols,3
4.9977033565755615,3.4414986264878427,0.9094553026958614,XGBoost,economic_cols,3
5.964377183586717,4.112089245624562,0.8710408172139076,LightGBM,market_cols,3
4.226632568069764,2.7999581127204323,0.9352393703990501,Linear,market_cols,3
4.796973796874986,3.13334534683552,0.9165825779186363,RandomForest,market_cols,3
5.779934869842606,4.111359429843184,0.8788933582713185,XGBoost,market_cols,3
5.95669516486771,4.099941764101752,0.8713727978531097,LightGBM,temporal_cols,14
4.165155816714457,2.707672437207323,0.937109568043094,Linear,temporal_cols,14
4.644384951441851,3.0874190446602423,0.9218050888659252,RandomForest,temporal_cols,14
5.61449476521337,4.020229339599609,0.8857270511838646,XGBoost,temporal_cols,14
