Model,RMSE_mean,MSE_mean,MAE_mean,MAPE_mean,R2_mean
Linear,36.182213280233064,1699.4751447104213,28.61466080293463,45.55628774398465,-9.010776972391843
RandomForest,29.53349977669584,900.9142143666104,23.53646667739948,42.62528869848497,-3.9434890802785754
XGBoost,23.933719649408438,601.7232782876287,19.186695894478458,33.56748346934987,-1.9936270449277518
LightGBM,22.7434907207222,570.8628467972545,17.68673200352554,29.86570629292786,-1.4035865946117405
