Model,Train_RMSE,CV_RMSE,Train_MAE,CV_MAE,Train_MAPE,CV_MAPE,Train_R2,CV_R2
Linear,15.933291504067176,70.46045833432632,11.842763380099186,59.986413070382675,18.222136486396273,105.60709381348379,0.4957168846903503,-96.98794493745018
RandomForest,6.793927258283915,29.417314368851486,5.349334942885022,23.441369227987227,8.754479966174198,42.43302288037012,0.9069403829177058,-3.9259243145858704
XGBoost,11.466730570113441,23.86515876714771,8.464297896268452,19.144950148958774,13.001449375245787,33.43600267082427,0.747139093332267,-1.9855997848273959
LightGBM,19.222291442391526,22.744580327530407,13.602284110114951,17.687545315307617,20.04326079868094,29.86759004985621,0.2862668291352496,-1.403726497301158
